title,content,source,url
Sầu riêng,"Cây cỏ ở trên đồi
Hoa thơm mọc dưới đất
Hoa trắng xa lòng người
Mưa còn bay phới phất
Tối tăm bờ vực thẳm
Bi thiết lắm không lời
Hạt sương nào ướt đẫm
Quấn lấy phách hồn tôi
Ra đi hồn không áo
Ngỡ dòng sống là đây
Con ngươi tôi trâng tráo
Chẳng có một bóng mây
Soi mặt dòng nước biếc
Tôi là tôi đó ư
Hay bắt đầu là hết
Và sau cùng thiên thu
Đàn thiêng ngón nào láy
Có một giọt máu tươi
Hồn sao run lẩy bẩy
Giữa cuộc bọt bèo trôi
Cây cỏ ở trên đồi
Hoa thơm ẩn dưới đất
Trinh trắng xa lòng người
Buồn ôi! Bay lất phất",,https://www.thivien.net/A-Khu%C3%AA/S%E1%BA%A7u-ri%C3%AAng/poem-I1clenrAkujMrbbfjUk0CA
Tiếng đêm,"Màu xanh của cây xanh
Ta nghe trong tiếng gió 
Màu tím của chiều sương
Chỉ nghe êm trên má
Đêm bắt đầu động cựa
Khi bóng tối trùm lên...

Ta nghe đường dưới chân
Rung lên như nổi giận 
Tiếng đoàn xe ra trận 
Đất truyền nhau mang đi.

Như thì thầm điều gì 
Những ngọn đèn ca khuya
Là nỗi nhớ rất bận
Của lòng người hậu tuyết
Nghĩ về chiến trường xa

Ngọt ngào là lời ru
Tiếng những ô cửa sổ
Nói tới con bướm nhỏ 
Lượn giữa giấc trẻ thơ...

Sao trời bị giật thức
Đạn lửa lay không gian
Đêm như thể gầm lên
Tiếng đêm vang dữ dội...

Trời cao sao ngủ lại.
Rồi chìm dần vào mây
Tiếng đêm vang vọng mãi.
Ôi, tiếng của đất này
Là yêu thương tràn đây
Là hờn căm dữ dội!","9-1970

[Thông tin 1 nguồn tham khảo đã được ẩn]",https://www.thivien.net/Anh-Chi/Ti%E1%BA%BFng-%C4%91%C3%AAm/poem-07F3O1G0AJ3zlAgB0Q8MkQ
1,"Trên đường đi ra trận
Khi nhìn thấy vầng trăng
Tôi thường nhớ những đêm
Trăng lên từ cửa sổ
Tô nằm trên võng nhỏ
Nghe bài hát mẹ ru","1970

[Thông tin 1 nguồn tham khảo đã được ẩn]",https://www.thivien.net/Anh-Chi/Tr%C4%83ng/poem-WG1wRL__6NpTgLjbZAy7zQ
2,"Trên đường đi ra trận
Lúc chợt gặp vầng trăng
Tô nghĩ đến đường phố
Đã cùng bạn bè đi
Tôi thấy những đôi mắt
Chảy xanh lên lạ kỳ!","1970

[Thông tin 1 nguồn tham khảo đã được ẩn]",https://www.thivien.net/Anh-Chi/Tr%C4%83ng/poem-WG1wRL__6NpTgLjbZAy7zQ
3,"Nhưng mỗi lần gặp trăng
Cái tôi nhớ nhiều nhất
Lại là một vầng trăng
Rất hiền dịu, rất thân
Với mỗi người trong phố
Vầng trăng giữa khung cửa
Bòm mỹ đốt thành than!","1970

[Thông tin 1 nguồn tham khảo đã được ẩn]",https://www.thivien.net/Anh-Chi/Tr%C4%83ng/poem-WG1wRL__6NpTgLjbZAy7zQ
Với một giấc ngủ ở phương bắc,"1

Cứ mỗi lần em ngủ
Anh sẽ đến bên em
Để cất giọng nho nhỏ 
Kể những chuyện quê mình...

Anh kể chuyện mùa thu 
Những làn nước êm đẹp
Để cho em trong mơ 
Không thấy bóng tuyết rét.
Chuyện mùa đông anh kể
Cây vẫn mượt mà xanh 
Để giấc ngủ bình yên 
Em thấy băng tan vỡ.
Và mùa xuân, mùa xuân
Mưa dây bụi trên đồng 
Bụi mưa mịn và mát
Vào trong giấc mơ em 
Mặc bên ngoài giá rét.
Biển mùa hè rất đẹp
Núi mùa hè &nbsp;gần hơn 
Vì mùa hè trời trong 
Mọi màu điều rực rỡ...

Em sẽ được thấy cả
Trong chuyện anh ru em.

2

Cứ nhắm mắt lại em
Là sẽ thấy anh đấy
Là sẽ nghe anhn ói
Giọng tha thiết em quen...

Gió tự do ngoài đồng
Nước ồn ào trên sông
Sao trên trời thao thức
Rạo rực bếp củi hồng...
Em sẽ gặp lại hết.
Bếp củi hồng rạo rực
Như một nỗi riêng tư,
Sao trên trời thao thức
Như kêu gọi ước mơ.
Trên tiếng nước ồn ào
Những cánh buồm sương đẫm
Trong gọn gió tự do
Là người cày cần mẫm...
Có hai sương một nắng
Có tần tảo siêng năng
Trong giọng anh tha thiết
Trong chuyện anh ru em.

3

Anh biết ngày nhớ thương
Đêm em thao thức mãi
Ôi! Sâu xa đến vậy
Là mối tình quê hương
Cháy bỏng đến như vậy
Cũng là tình quê hương.

Ngủ đi, ngủ đi em
Anh không kể gian nan
Không nói máu và lửa,
Anh sẽ đưa bạn cũ
Vào trong giấc mơ em.

Trong mơ, nhưng đông lắm
Những khuôn mặt rạm nắng
Nói hết việc mình làm
Nét gân guốc bàn chân
Nói chặng đường đã vượt
Giặc Mỹ và đạn bom
Ta đạp lên mà bước
Những bàn tay như sắt
Còn hứa hẹn chiến công!

Còn phần em, rưng rưng
Chưa nói được gì cả...
Ai cũng thương em quá
Thôi. Em làm ngày mai!

4

Bạn bè nuôi em vui
Bạn bè nuôi em học
Nuôi em rất chân thật
Như là yêu Việt Nam.
Ôi! Bạn bè bên ấy...
Nhưng anh hiểu, với với em
Không lúc nào không nhớ
Về quê mình, quê mình
Nên mỗi lần em ngủ
Anh sẽ đến bên em
Với giọng anh tha thiết
Mà em vẫn hằng quen
Với mối tình tha thiết
Mà đất nước cho anh.","4-1971

[Thông tin 1 nguồn tham khảo đã được ẩn]",https://www.thivien.net/Anh-Chi/V%E1%BB%9Bi-m%E1%BB%99t-gi%E1%BA%A5c-ng%E1%BB%A7-%E1%BB%9F-ph%C6%B0%C6%A1ng-b%E1%BA%AFc/poem-llQGwZOnF2h-stQfyUqNkg
Xương rồng khô khan,"Từ phần đất cỗi cằn
Cây mọc thành gai góc
Duyên chi như củi gộc
Cho lòng người lãng quên

Qua đi mấy mùa đông
Không hề biết rụng lá
Suốt những hè nắng lửa 
Cây cứ lặng lẽ xanh
Có thế trách người chăng
Ai lại chăm gai góc?

Đôi khi còn bực tức
Bẻ một cành vứt đi
Máu cây trào thể kia
Nghẹn ngào và trắng đục 
Ừ thì dễ thương thật
Nhưng chẳng lẽ lại yêu

Thời gian đi qua mau
Vật lộn với đời mãi
Mộng ước rồi khổ đau 
Mới giật mình nhìn lại

Hoa, trời ơi hoa nở
Những giọt máu rưng rưng 
Vắt tận tấm lòng mình
Ứa ra đầu gai góc
Ôi, xương rồng khô khan!",,https://www.thivien.net/Anh-Chi/X%C6%B0%C6%A1ng-r%E1%BB%93ng-kh%C3%B4-khan/poem-WXAnSYjlALWLO0BlPp2Mog
Bài ca mùa mưa anh sẽ về,"Mùa mưa anh sẽ về
Ai gọi hoài trong gió
Ngôi sao hôm vừa tỏ
Bòng trên vai lên đường
 
Xa xanh chiều quê hương
Trời Cực Nam nắng trở
Cái vạch sơn đạn lửa
Cháy bùng lên mùa khô
 
Lắc lư chiếc xe thồ
Dốc Bù Du nghiêng ngả
Dáng núi ngồi vất vả
Nhọc nhằn ôm bóng em
 
Cách nhau một khoảng đêm
Vươn tay dường nắm được
Đồng Nai mùa con nước
Đã rụng đầy lá tre
 
Mùa mưa anh sẽ về
Cửa rừng con cuốc gọi
Bàn tay nào biết nói
Cần xe thồ rung rung
 
Mặt đèo đêm vượt cung
Lầm lì hòn đá hộc
Mảnh trăng Iiềm đỉnh dốc
Hai phía đường chia soi
 
Mỗi đứa một phương trời
Mùa khô nằm ở giữa
Một đồn thù bốc lửa
Nối hai đầu tiếng ve
 
Mùa mưa anh sẽ về
Họng súng còn nóng bỏng
Mùa mưa anh sẽ về
Gối đầu lên cánh võng
Vầng trán chiều mơ mộng
Rừng le nghe gió se
 
Mùa mưa anh sẽ về
Cho mặt suối thành gương
Soi mặt người chiến thắng
Cho mắt em đầy nắng
Cho hồn anh đầy em.",,https://www.thivien.net/Anh-Ng%E1%BB%8Dc/B%C3%A0i-ca-m%C3%B9a-m%C6%B0a-anh-s%E1%BA%BD-v%E1%BB%81/poem-Jx5AW6DWR4WMFVRhZGTDfQ
Bài ca những cô gái sống tuổi ba mươi trong rừng,"Như những người leo núi
Vượt qua dốc Cổng Trời
Là những cô con gái
Qua tuổi mình ba mươi
 
Án ngũ giữa cuộc đời
Tuổi ba mươi sừng sững
Cái gùi hang chất nặng
Tâm tư đầy hai vai
 
Tuổi ba mươi rất dài
Những đêm nằm đợi sang
Tuổi ba mươi lại ngắn
Trăng lặn rồi trăng lên
 
Cơn sốt rét triền mien
Tóc mọc rồi lại rụng
Mùa xuân thành báo động
Đoá hoa nhầu trên tay
 
Thương một cánh chim bay
Mười năm chưa về tổ
Quả trứng hồng dễ vỡ
Chẳng hẹn mùa sinh sôi
 
Đi qua tuổi ba mươi
Nhọc nhằn và lặng lẽ
Bao ước mơ giản dị
Mà sâu thẳm không cùng
 
Hơn mọi sự anh hung
Là điều này nhỏ bé
Làm vợ và làm mẹ
Tuổi ba mươi chối từ
 
Những đau xót riêng tư
Theo suốt đời con gái
Tuổi ba mươi từng trải
Con mắt nhìn trước sau
 
Tay xiết chặt tay nhau
Tháng năm không đếm tuổi
Như những người leo núi
Càng lên cao càng vui
 
Trên đỉnh dốc cuộc đời
Gặp long mình trẻ lại
Xốc quai gùi đứng dậy
Tuổi ba mươi lên đường.",,https://www.thivien.net/Anh-Ng%E1%BB%8Dc/B%C3%A0i-ca-nh%E1%BB%AFng-c%C3%B4-g%C3%A1i-s%E1%BB%91ng-tu%E1%BB%95i-ba-m%C6%B0%C6%A1i-trong-r%E1%BB%ABng/poem-qG4S4AQD-toa7Dg1rymcTg
Bài ca những người đào huyệt,"Mũi lồ ô thay xiểng
Ta dọn chỗ em nằm
Cho em tròn giấc ngủ
Giấc ngủ dài ngàn năm
 
Lòng ta như dao đâm
Lòng ta thành máu chảy
Em vẫn còn nằm đấy
Ta mất em rồi sao
 
Xin một nắm đất nâu
Hãy vì em đắp mặt
Ta đào sâu chon chặt
Ngàn ngày đêm ân tình
 
Chôn một nửa long mình
Đất cùng em ở lại
Mùi rễ cây ngai ngái
Tóc em thơm phù sa
 
Thơm hai bàn tay ta
Đưa em về đất mẹ
Mũi lồ ô dào khoẻ
Mũi lồ ô đào sâu
 
Vòm trời sao trên đầu
Thức cùng người dưới huyệt
Ngôi sao nào bất diệt
Như linh hồn của em
 
Trong tận cùng bóng đêm
Người sống cùng kẻ chết
Là khi ta nhận biết
Bình minh về đâu đây
 
Bắt gặp một ánh ngày
Nơi em vừa yên ngủ
Mũi lồ ô bốc lửa
Bó đuốc hồng trên tay.",,https://www.thivien.net/Anh-Ng%E1%BB%8Dc/B%C3%A0i-ca-nh%E1%BB%AFng-ng%C6%B0%E1%BB%9Di-%C4%91%C3%A0o-huy%E1%BB%87t/poem-zRvhdhtWVzYilsH68zIRGg
